ADDRESS,POINTS
136S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
137S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
138S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
139V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
140V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
141V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
142V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
143V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
144V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
146V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
147V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
148V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
125V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
126V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
509 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
507 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
505 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
501 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
502 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
506 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
508 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
510 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
512 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
516 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
617 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
615 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
613 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
611 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
609 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
607 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
605 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
601 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
602 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
606 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
608 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
610 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
