ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
401 38 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536973 51.0868977, -114.0542865 51.0868999, -114.0542935 51.0861895, -114.0535832 51.0861891, -114.0535821 51.0867599, -114.05361 51.0867709, -114.0536349 51.0867843, -114.0536564 51.0868, -114.0536738 51.0868175, -114.0536869 51.0868365, -114.0536953 51.0868565, -114.0536988 51.086877, -114.0536973 51.0868977)))"
403 38 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536973 51.0868977, -114.0542865 51.0868999, -114.0542935 51.0861895, -114.0535832 51.0861891, -114.0535821 51.0867599, -114.05361 51.0867709, -114.0536349 51.0867843, -114.0536564 51.0868, -114.0536738 51.0868175, -114.0536869 51.0868365, -114.0536953 51.0868565, -114.0536988 51.086877, -114.0536973 51.0868977)))"
405 38 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536973 51.0868977, -114.0542865 51.0868999, -114.0542935 51.0861895, -114.0535832 51.0861891, -114.0535821 51.0867599, -114.05361 51.0867709, -114.0536349 51.0867843, -114.0536564 51.0868, -114.0536738 51.0868175, -114.0536869 51.0868365, -114.0536953 51.0868565, -114.0536988 51.086877, -114.0536973 51.0868977)))"
407 38 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536973 51.0868977, -114.0542865 51.0868999, -114.0542935 51.0861895, -114.0535832 51.0861891, -114.0535821 51.0867599, -114.05361 51.0867709, -114.0536349 51.0867843, -114.0536564 51.0868, -114.0536738 51.0868175, -114.0536869 51.0868365, -114.0536953 51.0868565, -114.0536988 51.086877, -114.0536973 51.0868977)))"
409 38 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536973 51.0868977, -114.0542865 51.0868999, -114.0542935 51.0861895, -114.0535832 51.0861891, -114.0535821 51.0867599, -114.05361 51.0867709, -114.0536349 51.0867843, -114.0536564 51.0868, -114.0536738 51.0868175, -114.0536869 51.0868365, -114.0536953 51.0868565, -114.0536988 51.086877, -114.0536973 51.0868977)))"
411 38 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536973 51.0868977, -114.0542865 51.0868999, -114.0542935 51.0861895, -114.0535832 51.0861891, -114.0535821 51.0867599, -114.05361 51.0867709, -114.0536349 51.0867843, -114.0536564 51.0868, -114.0536738 51.0868175, -114.0536869 51.0868365, -114.0536953 51.0868565, -114.0536988 51.086877, -114.0536973 51.0868977)))"
413 38 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536973 51.0868977, -114.0542865 51.0868999, -114.0542935 51.0861895, -114.0535832 51.0861891, -114.0535821 51.0867599, -114.05361 51.0867709, -114.0536349 51.0867843, -114.0536564 51.0868, -114.0536738 51.0868175, -114.0536869 51.0868365, -114.0536953 51.0868565, -114.0536988 51.086877, -114.0536973 51.0868977)))"
415 38 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536973 51.0868977, -114.0542865 51.0868999, -114.0542935 51.0861895, -114.0535832 51.0861891, -114.0535821 51.0867599, -114.05361 51.0867709, -114.0536349 51.0867843, -114.0536564 51.0868, -114.0536738 51.0868175, -114.0536869 51.0868365, -114.0536953 51.0868565, -114.0536988 51.086877, -114.0536973 51.0868977)))"
417 38 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536973 51.0868977, -114.0542865 51.0868999, -114.0542935 51.0861895, -114.0535832 51.0861891, -114.0535821 51.0867599, -114.05361 51.0867709, -114.0536349 51.0867843, -114.0536564 51.0868, -114.0536738 51.0868175, -114.0536869 51.0868365, -114.0536953 51.0868565, -114.0536988 51.086877, -114.0536973 51.0868977)))"
3602 MANCHESTER RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0554255 51.022927, -114.0553806 51.0229894, -114.0552438 51.0231793, -114.0558963 51.0231794, -114.0559213 51.0231447, -114.0559662 51.0230824, -114.0554255 51.022927)))"
